City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,hovd,48.0056,91.6419,-9.859999999999957,96,84,0.59,MN,1701228590
183,manaure,11.7751,-72.4445,27.590000000000032,81,4,8.43,CO,1701228590
184,santona,43.4439,-3.4576,13.450000000000045,90,100,3.28,ES,1701228591
185,asau,46.4333,26.4,-0.48999999999995225,78,100,4.97,RO,1701228591
186,araguaina,-7.1911,-48.2072,28.55000000000001,40,80,1.24,BR,1701228529
187,sao vicente,-23.9631,-46.3919,25.150000000000034,26,100,2.18,BR,1701228552
188,sarakhs,36.5449,61.1577,12.470000000000027,74,100,7.31,IR,1701228594
189,shubarshi,48.5872,57.1869,-1.339999999999975,74,100,6.75,KZ,1701228595
190,selfoss,63.9331,-20.9971,0.6000000000000227,84,100,2.28,IS,1701228595
191,yanliang,34.6592,109.2292,8.550000000000011,24,100,4.16,CN,1701228595
192,inhambane,-23.865,35.3833,24.99000000000001,88,40,4.63,MZ,1701228595
193,souillac,-20.5167,57.5167,24.210000000000036,94,20,1.54,MU,1701228596
194,gurupi,-11.7292,-49.0686,25.410000000000025,36,6,1.85,BR,1701228348
195,san antonio de pale,-1.4014,5.6325,26.58000000000004,81,77,2.84,GQ,1701228597
196,turpan,42.9333,89.1667,8.100000000000023,32,100,0.78,CN,1701228597
197,labrador city,52.9463,-66.9114,-9.049999999999955,79,100,5.14,CA,1701228523
198,yaren,-0.5472,166.916,28.930000000000007,73,100,4.0,NR,1701228597
199,malvan,16.0667,73.4667,26.220000000000027,74,100,2.77,IN,1701228597
200,vila franca do campo,37.7167,-25.4333,17.160000000000025,99,100,2.86,PT,1701228120
201,waiuku,-37.25,174.75,19.03000000000003,74,34,4.47,NZ,1701228599
202,quepos,9.4236,-84.1652,25.430000000000007,81,96,1.7,CR,1701228599
203,flin flon,54.7682,-101.865,-0.9399999999999977,87,91,5.47,CA,1701228600
204,ust'-barguzin,53.45,108.9833,-9.729999999999961,84,100,1.62,RU,1701228600
205,klyuchi,52.2667,79.1667,1.1100000000000136,62,100,4.16,RU,1701228606
206,port alfred,-33.5906,26.891,15.100000000000023,86,83,1.79,ZA,1701228610
207,laojunmiao,39.8333,97.7333,-3.069999999999993,50,74,3.76,CN,1701228016
208,vanino,49.0869,140.2543,-11.70999999999998,58,100,5.1,RU,1701228611
209,bikenibeu village,1.3673,173.1241,30.980000000000018,74,40,3.09,KI,1701228621
210,loango,-4.6719,11.8312,23.810000000000002,94,20,1.03,CG,1701228621
211,new norfolk,-42.7826,147.0587,18.170000000000016,51,91,4.12,AU,1701228622
212,babu,24.4167,111.5167,19.900000000000034,60,100,0.09,CN,1701228504
213,chauk,20.8833,94.8167,25.760000000000048,61,100,4.19,MM,1701228622
214,azadshahr,34.7909,48.5707,-1.7299999999999613,93,0,2.06,IR,1701228622
215,hiratacho,35.4333,132.8167,13.010000000000048,54,75,9.26,JP,1701228623
216,pedernales,18.0384,-71.744,25.850000000000023,70,6,1.53,DO,1701228623
217,thinadhoo,0.5333,72.9333,28.150000000000034,75,84,3.78,MV,1701228623
